Composer;Life Time;Opus;Nr. in Opus;Movement Number;Year;Key;Title;url
Josquin des Prez ;1450-1521;Jos1604;COM;COM;;;Domine dominus noster;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1604_COM_COM_Dominedomi_002_00195.xml
Josquin des Prez ;1450-1521;Jos1605;COM;COM;;;Domine exaudi orationem meam auribus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1605_COM_COM_Domineexau_002_00196.xml
Josquin des Prez ;1450-1521;Jos1606;COM;COM;;;Domine, ne in furore;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1606_COM_COM_Dominenein_002_00197.xml
Josquin des Prez ;1450-1521;Jos1607;COM;COM;;;Domine, ne in furore;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1607_COM_COM_Dominenein_002_00198.xml
Josquin des Prez ;1450-1521;Jos1608;COM;COM;;;Domine ne in furore;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1608_COM_COM_Dominenein_002_00199.xml
Josquin des Prez ;1450-1521;Jos1609;COM;COM;;;Domine, ne projicias me;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1609_COM_COM_Dominenepr_002_00200.xml
Josquin des Prez ;1450-1521;Jos1610;COM;COM;;;Domine, non secundum peccata;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1610_COM_COM_Dominenons_002_00201.xml
Josquin des Prez ;1450-1521;Jos1611;COM;COM;;;Domine quis habitabit;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1611_COM_COM_Dominequis_002_00202.xml
Josquin des Prez ;1450-1521;Jos1612;COM;COM;;;Domini est terra;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1612_COM_COM_Dominiestt_002_00203.xml
Josquin des Prez ;1450-1521;Jos1701;COM;COM;;;Dominus regnavit;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1701_COM_COM_Dominusreg_002_00204.xml
Josquin des Prez ;1450-1521;Jos1702;COM;COM;;;Illumina oculos;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1702_COM_COM_Illuminaoc_002_00205.xml
Josquin des Prez ;1450-1521;Jos1703;COM;COM;;;I trust in the Lord;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1703_COM_COM_Itrustinth_002_00206.xml
Josquin des Prez ;1450-1521;Jos1704;COM;COM;;;In exitu Israel de Egypto;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1704_COM_COM_InexituIsr_002_00207.xml
Josquin des Prez ;1450-1521;Jos1705;COM;COM;;;In pace in idipsum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1705_COM_COM_Inpaceinid_002_00208.xml
Josquin des Prez ;1450-1521;Jos1706;COM;COM;;;Iniquos odio habui;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1706_COM_COM_Iniquosodi_002_00209.xml
Josquin des Prez ;1450-1521;Jos1707;COM;COM;;;Shout with joy to God, all the earth;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1707_COM_COM_Shoutwithj_002_00210.xml
Josquin des Prez ;1450-1521;Jos1708;COM;COM;;;Judica me Deus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1708_COM_COM_JudicameDe_002_00211.xml
Josquin des Prez ;1450-1521;Jos1709;COM;COM;;;Lauda Jerusalem dominum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1709_COM_COM_LaudaJerus_002_00212.xml
Josquin des Prez ;1450-1521;Jos1711;COM;COM;;;Laudate pueri Dominum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1711_COM_COM_Laudatepue_002_00213.xml
Josquin des Prez ;1450-1521;Jos1712;COM;COM;;;Letare nova Syon;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1712_COM_COM_Letarenova_002_00214.xml
Josquin des Prez ;1450-1521;Jos1713;COM;COM;;;Levavi oculos meos;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1713_COM_COM_Levaviocul_002_00215.xml
Josquin des Prez ;1450-1521;Jos1714;COM;COM;;;Memor esto verbi tui;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1714_COM_COM_Memorestov_002_00216.xml
Josquin des Prez ;1450-1521;Jos1801;COM;COM;;;Mirabilia testimonia tua Domine;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1801_COM_COM_Mirabiliat_002_00217.xml
Josquin des Prez ;1450-1521;Jos1802;COM;COM;;;Mirabilia testimonia tua;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1802_COM_COM_Mirabiliat_002_00218.xml
Josquin des Prez ;1450-1521;Jos1803;COM;COM;;;Miserere mei deus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1803_COM_COM_Miserereme_002_00219.xml
Josquin des Prez ;1450-1521;Jos1804;COM;COM;;;Misericordias domini;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1804_COM_COM_Misericord_002_00220.xml
Josquin des Prez ;1450-1521;Jos1805;COM;COM;;;Paratum cor meum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1805_COM_COM_Paratumcor_002_00221.xml
Josquin des Prez ;1450-1521;Jos1807;COM;COM;;;Qui habitat in adjutorio altissimi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1807_COM_COM_Quihabitat_002_00222.xml
Josquin des Prez ;1450-1521;Jos1808;COM;COM;;;Qui habitat in adjutorio altissimi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1808_COM_COM_Quihabitat_002_00223.xml
Josquin des Prez ;1450-1521;Jos1809;COM;COM;;;Qui regis Israel;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1809_COM_COM_QuiregisIs_002_00224.xml
Josquin des Prez ;1450-1521;Jos1811;COM;COM;;;Tribulatio et angustia;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1811_COM_COM_Tribulatio_002_00225.xml
Josquin des Prez ;1450-1521;Jos1901;COM;COM;;;Christus mortuus est;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1901_COM_COM_Christusmo_002_00226.xml
Josquin des Prez ;1450-1521;Jos1902;COM;COM;;;Ecce video celos apertos;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1902_COM_COM_Eccevideoc_002_00227.xml
Josquin des Prez ;1450-1521;Jos1903;COM;COM;;;Factum est autem;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1903_COM_COM_Factumesta_002_00228.xml
Josquin des Prez ;1450-1521;Jos1904;COM;COM;;;Homo quidam fecit cenam;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1904_COM_COM_Homoquidam_002_00229.xml
Josquin des Prez ;1450-1521;Jos1905;COM;COM;;;In illo tempore assumpsit Jesus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1905_COM_COM_Inillotemp_002_00230.xml
Josquin des Prez ;1450-1521;Jos1906;COM;COM;;;In illo tempore stetit Jesus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1906_COM_COM_Inillotemp_002_00231.xml
Josquin des Prez ;1450-1521;Jos1907;COM;COM;;;In nomine Jesu;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1907_COM_COM_InnomineJe_002_00232.xml
Josquin des Prez ;1450-1521;Jos1908;COM;COM;;;In principio erat verbum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1908_COM_COM_Inprincipi_002_00233.xml
Josquin des Prez ;1450-1521;Jos1909;COM;COM;;;Inter natos mulierum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1909_COM_COM_Internatos_002_00234.xml
Josquin des Prez ;1450-1521;Jos1910;COM;COM;;;Inter natos mulierum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1910_COM_COM_Internatos_002_00235.xml
Josquin des Prez ;1450-1521;Jos1912;COM;COM;;;Lectio actuum apostolorum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1912_COM_COM_Lectioactu_002_00236.xml
